Description,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Liver,Muscle_Skeletal,Pancreas,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Lung
RNF11,0.67,0.49,-1.06,0.27,-1.92,0.19,1.54,1.16,-0.43,-0.97,-0.49,0.55
RPS7,1.17,1.15,-1.03,-0.84,0.04,0.0,0.84,0.96,-0.98,-1.79,-0.32,0.8
ATRAID,0.78,0.63,-2.07,-0.46,-1.29,0.58,1.09,1.11,0.06,-0.74,-0.34,0.65
QPCT,0.28,-0.24,-1.01,-0.52,-0.35,2.92,-0.1,-0.2,-0.3,-0.72,-0.22,0.46
GCA,0.77,0.93,-0.71,-1.71,-0.15,0.06,0.61,0.86,-0.73,-1.37,-0.15,1.59
ATP5MC3,-0.08,-0.08,-0.3,0.63,-2.3,-0.1,-0.41,-0.33,1.33,1.7,0.33,-0.41
CREB1,1.19,0.86,-1.11,-1.06,-0.88,-0.17,1.21,1.08,-0.54,-0.94,-0.77,1.14
SCD5,-0.15,0.12,-1.34,-1.34,0.39,2.43,0.14,0.21,-0.17,-0.99,0.27,0.41
CASP3,1.01,0.75,0.18,-0.46,-1.25,0.48,0.98,0.82,-1.14,-1.33,-1.18,1.13
NIPBL,1.17,0.72,-1.28,-0.28,-0.9,0.04,1.0,0.99,-0.65,-1.21,-0.95,1.34
IL3,-0.29,-0.29,3.18,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29
SPINK1,-0.55,-0.55,0.3,-0.59,2.89,-0.48,0.09,-0.33,-0.55,-0.53,0.7,-0.39
PRSS2,-0.44,-0.3,-0.03,-0.61,3.12,0.01,-0.15,-0.25,-0.47,-0.45,-0.2,-0.24
ST18,0.01,-0.49,-0.32,-0.7,2.84,-0.13,-0.44,-0.28,-0.69,-0.71,0.92,0.01
PEX2,0.78,0.35,-1.12,0.15,-1.38,1.06,1.04,0.79,-0.93,-1.55,-0.15,0.97
RRAGA,0.95,0.62,-1.21,0.22,-1.8,0.46,1.37,0.99,-0.37,-0.75,-0.97,0.48
NRBF2,1.13,1.12,1.08,-0.09,-1.37,-0.25,0.25,0.59,-0.88,-1.65,-0.82,0.88
ANKRD2,-0.67,-0.62,-0.75,2.25,-0.7,-0.47,-0.27,-0.34,0.56,1.74,-0.29,-0.46
PTMAP9,1.13,0.99,-0.74,-1.24,-0.58,-0.46,1.16,1.12,-0.86,-1.19,-0.42,1.09
NR4A1,0.36,1.44,-1.61,-0.07,-1.65,0.01,0.93,0.81,0.67,-0.91,-0.59,0.61
SLC16A7,0.78,0.82,-1.62,-1.98,-0.17,0.52,0.55,0.55,0.47,0.92,-1.07,0.24
AMN,-0.47,0.03,1.82,-0.68,-0.48,-0.61,-0.6,-0.53,-0.62,-0.67,2.12,0.68
PPP1R14D,-0.38,-0.38,-0.29,-0.38,0.12,-0.38,-0.38,-0.38,-0.38,-0.38,3.12,0.13
ANPEP,0.66,0.06,1.05,-1.47,1.58,-0.65,-0.47,-0.1,-1.01,-1.27,1.13,0.48
MT1G,-0.37,0.43,1.86,-0.8,1.02,-0.39,-0.62,-0.32,-1.03,-1.2,1.54,-0.13
BACH1,0.76,0.66,-0.69,0.84,-0.84,-0.46,0.81,0.92,-0.85,-1.6,-1.0,1.46